/home/jck/vulture-test/keystone/keystone/api/_shared/EC2_S3_Resource.py:39: unused variable 'cred_ref' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/api/auth.py:111: unused attribute 'charset' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:44: unused variable 'SP_ID_PARAMETER_RELATION' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/assignment/core.py:79: unused variable 'operations' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/auth/plugins/core.py:224: unused attribute 'passcode' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/auth/plugins/core.py:230: unused attribute 'passcode' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/catalog/backends/sql.py:68: unused variable 'legacy_endpoint_id' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/cmd/cli.py:1140: unused attribute 'rules_pathname' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/cmd/cli.py:1146: unused attribute 'rules_pathname' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/cmd/cli.py:1226: unused attribute 'formatter_class' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/cache/_context_cache.py:26: unused attribute 'frozen' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/cache/_context_cache.py:28: unused attribute 'frozen' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/cache/core.py:60: unused variable 'hard' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/cache/core.py:133: unused attribute 'region_invalidator' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/context.py:28: unused attribute 'project_tag_name' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/context.py:36: unused attribute 'oauth_consumer_id' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/context.py:37: unused attribute 'oauth_access_token_id' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/json_home.py:58: unused variable 'REGISTERED_LIMIT_ID' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/json_home.py:59: unused variable 'LIMIT_ID' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/json_home.py:120: unused variable 'dummy_rel' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/policies/base.py:29: unused variable 'RULE_REVOKE_EVENT_OR_ADMIN' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/provider_api.py:93: unused variable 'instance' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/common/provider_api.py:93: unused variable 'owner' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/backends/sql.py:68: unused variable 'expiring_user_group_memberships' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/constants.py:13: unused variable 'FEDERATION' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:160: unused attribute 'not_on_or_after' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:163: unused attribute 'subject_confirmation_data' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:165: unused attribute 'subject_confirmation' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:263: unused attribute 'authn_instant' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:264: unused attribute 'session_index' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:265: unused attribute 'session_not_on_or_after' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:273: unused attribute 'authn_context_class_ref' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:274: unused attribute 'authenticating_authority' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:300: unused attribute 'issue_instant' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:327: unused attribute 'destination' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:328: unused attribute 'issue_instant' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:378: unused attribute 'transform' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:384: unused attribute 'uri' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:395: unused attribute 'x509_data' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:399: unused attribute 'signature_value' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:539: unused attribute 'idpsso_descriptor' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:610: unused attribute 'protocol_support_enumeration' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:672: unused attribute 'extension_elements' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/federation/idp.py:678: unused attribute 'extension_elements' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:247: unused variable 'attribute_type' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:280: unused variable 'dummy' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:282: unused variable 'dummy' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:526: unused attribute 'protocol_version' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1038: unused variable 'rmsgid' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1038: unused variable 'rtype' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1046: unused variable 'est' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1081: unused variable 'rmsgid' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1081: unused variable 'rtype' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1103: unused variable 'exc_tb' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1103: unused variable 'exc_type' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1103: unused variable 'exc_val' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/sql_model.py:64: unused variable 'expiring_user_group_memberships' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/identity/backends/sql_model.py:387: unused variable 'expiring_user_group_memberships' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/limit/backends/sql.py:48: unused variable 'default_limit' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/models/receipt_model.py:124: unused variable 'handles' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/models/revoke_model.py:55: unused variable 'ALTERNATIVES' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/models/revoke_model.py:274: unused variable 'handles' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/models/token_model.py:592: unused variable 'handles' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/backends/sql.py:47: unused variable 'request_secret' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/backends/sql.py:49: unused variable 'authorizing_user_id' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/backends/sql.py:70: unused variable 'access_secret' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/backends/sql.py:71: unused variable 'authorizing_user_id' (60% confidence, 1 line)
